Code,Name,Parent,Definition and exclusions,Synonyms,Topics
wkt,Work type,,,,
wkt-dev,Development,wkt,"Work to create a new physical or intangible asset, or the material amendment, upgrade or disposal of an existing one. This includes construction and infrastructure projects but also development of products and services.",,
wkt-dev-1,New development,wkt-dev,"The construction, building or creation of a new physical asset or intangible work, from inception through to completion or delivery. ","Building, construction","Building and construction, Real estate development, Infrastructure development, Product development, Software development, Fit-out (new), Facility creation, Prototyping"
wkt-dev-2,Modification / expansion,wkt-dev,"The material modification, expansion, refurbishment or upgrade of an existing physical or intangible asset, as distinct from routine maintenance.","Redevelopment, expansion, upgrade","Refurbishment, Fit-out, Expansion, Upgrade, Renovation, Redevelopment, System enhancement, Software release, Major maintenance (capex)"
wkt-dev-3,Decommissioning,wkt-dev,"The planned end-of-life decommissioning, dismantling or demolition of a physical or intangible asset, including associated regulatory aspects, environmental remediation, data migration and contractual wind-down. May be voluntary or compelled.","Demolition, end-of-life","Demolition, Decommissioning, Asset retirement, Site remediation, Environmental clean-up obligations, Equipment disposal, Facility closure, Nuclear decommissioning"
wkt-dsp,Dispute resolution,wkt,"Work to resolve a dispute over legal rights, obligations, liabilities or remedies, whether by agreement or third-party decision. Does not cover responding to authority requests (e.g. warrants and subpoenas): these fall within Enablement.",,
wkt-dsp-1,Consensual resolution,wkt-dsp,"A free-standing process in which parties reach an agreed resolution of a dispute through negotiation or facilitated dialogue, without any process already being underway to impose a binding decision by a court or third party. Only use at matter level if it is the substance of the matter as opposed to just a phase within it.","Settlement, mediation","Settlement negotiation, Mediation, Conciliation, Early neutral evaluation (non-binding), Ombudsman scheme resolution"
wkt-dsp-2,Litigation,wkt-dsp,"Official proceedings in civil and commercial matters, taking place in a court established under public law, or in a statutory tribunal operating analogously to a court.","Court case, lawsuit, court proceedings","First instance civil proceedings, Commercial court proceedings, Appellate proceedings, Multi-party and group litigation, Class actions, Interim injunctions and applications, Challenge to arbitral awards"
wkt-dsp-3,Arbitration,wkt-dsp,"A private binding dispute resolution process in which parties confer authority on a neutral arbitral tribunal to determine the dispute, with the resulting award enforceable under arbitration law.",Arbitral proceedings,Emergency relief
wkt-dsp-4,Determinative resolution,wkt-dsp,"A contractually or statutorily conferred process, other than litigation or arbitration, in which a neutral decision-maker has the power to impose a binding determination on the parties, whether finally or provisionally.",,"Expert determination, Disputes board, Valuation dispute resolution"
wkt-dsp-5,Enforcement,wkt-dsp,"Free-standing enforcement of a court judgment, arbitral award, settlement agreement or other binding determination, whether domestically or cross-border. Only use at matter level if it is the substance of the matter as opposed to just a phase within it.",,"Enforcement of court judgments, Enforcement of arbitral awards, Enforcement of settlement agreements, Enforcement of expert determinations, Cross-border recognition and enforcement"
wkt-enb,Enablement,wkt,"Ongoing legal support to enables an individual, organisation or function to operate, advance their objectives and manage risk. Unlike other work type categories, Enablement is not defined by a particular process or transaction type: it covers ongoing advisory and functional support, and projects or initiatives that do not fall within a more specifically-defined work type category.
",,
wkt-enb-1,Delivery,wkt-enb,"Legal support for the operational delivery of an organisation's products and services to customers, including contractual, regulatory and customer-facing issues arising in the ordinary course.",,"Product and service delivery issues, Debt collection, Customer complaints handling, Consumer redress, Bid and tender support, Contract performance and management, Delivery-context regulatory compliance, Product recall coordination"
wkt-enb-2,Revenue support,wkt-enb,"Legal support for activities directed at generating revenue and managing the commercial terms on which an organisation's products or services are offered, including standard forms and pricing frameworks.",,"Standard terms and conditions, Pricing frameworks, Template customer agreements, Distribution and reseller arrangements, Sales and marketing legal compliance, Revenue-related regulatory compliance"
wkt-enb-3,Internal resources,wkt-enb,"Legal support for managing an organisation's internal physical, financial and intellectual property resources, excluding personnel matters (see Personnel).",,"Equipment acquisition and disposal, Office and facilities management, Treasury operations, Cash management, IP portfolio management, Internal insurance, Asset management, Real estate (internal)"
wkt-enb-4,Personnel,wkt-enb,"Legal support for employment and human resources matters arising in the ordinary course of operations, as distinct from strategic employment matters or contentious labour disputes.",,"Employment contracts and offer letters, HR policy development, Disciplinary and grievance procedures, Performance management, Right to work compliance, Benefits administration, Absence management, Workplace adjustments"
wkt-enb-5,Entity management,wkt-enb,"Ongoing legal management of corporate entities and their statutory obligations as part of business-as-usual operations, as distinct from M&A or substantive restructuring.",,"Corporate secretarial, Board and committee minutes, Statutory filings, Register maintenance, Director appointments and resignations, Annual general meetings, Powers of attorney, Group structure maintenance"
wkt-enb-6,Third party relationships,wkt-enb,"Legal support for the ongoing management of relationships with suppliers, outsourcing partners and other external third parties, as distinct from the initial negotiation of the relevant contract.",,"Supplier relationship management, Outsourcing oversight, Contract performance monitoring, Operational supplier disputes, Procurement compliance, Subcontractor management, Supply chain due diligence"
