Code,noslegal name,Definition
pre-1,1. High-level concepts,
pre-1.1,Process,"The sequence of steps or activities by which a matter or phase is conducted. The term is used in several distinct senses in legal work: (1) to distinguish the work to be done, and how it is done, from the substantive law used, and the deliverable and other results of such work, (2) to refer to formal external procedures, such as court or regulatory ones, which have their own defined structure and requirements, (3) to describe the workflow by which legal work is organised and executed. These senses are related but should be distinguished in context. See the definition Workflow for different senses of usage 3."
pre-1.2,Workflow,"The full sequence of activities by which legal work is carried out in practice, ranging from formally defined and (in practice often automated) sequences at one end to more tacit and flexible patterns of working at the other. Even where workflow is formally defined in an organisation, individual lawyers and teams may well adapt workflows to the context of a particular matter, and the relationship between a defined workflow and how work is actually done will vary with context. Understanding this variation is important both for improving how work is organised and for using workflow data reliably in reporting and analysis."
pre-1.3,"Process improvement

(or legal process improvement - LPI)","The systematic analysis of how legal work is carried out in practice, with a view to improving quality, efficiency, consistency or financial aspects. It ideally draws on data on what has happened in matters compared against plans, estimates and process maps, to identify patterns and opportunities. The importance of high quality matter data and process maps is one of the reasons a high quality and well-implemented taxonomy is important. Process improvement is distinct from the individual matter focus of project management, though insights from that context often prompt broader process improvement work."
pre-1.4,Process map,"A structured description of the process elements typically involved in a defined type of legal work. A process map is a template rather than a plan for a specific matter. It describes what is typically done in work of a given type, whereas a matter plan describes how a specific matter is intended to be executed (often drawing on one or more process maps as a starting point and adapting them to the circumstances). Process maps range in specificity from those applicable to a broad category of work - such as dispute resolution generally - to those addressing a narrower context, such as a particular type of arbitration in a specific jurisdiction. They also vary in their level of prescriptiveness - a process map for a highly repeatable and largely automated process will look very different from one designed to guide humans through steps which vary considerably in complex details. Process maps are most valuable when used consistently across matters of the same type: this helps with quality, efficiency, risk and financials at individual matter level but also, effectively implemented, generates data which can be used for future projection, pricing, process improvement (including feeding back into the process map) and knowledge capture going beyond what the process map itself records."
pre-1.5,"Project management

(or legal project management - LPM)","The application of structured planning, monitoring and control techniques to the management of legal matters, with the aim of delivering work to the agreed scope, budget, duration and quality. Legal project management draws on the concepts defined in this facet - including matter plans, phases, objectives, tasks, milestones, assumptions, risks, dependencies, estimates and budgets - and applies them in a coordinated way throughout the life of a matter. Challenges in the legal context include the significant uncertainty inherent in much legal work, the professional judgment required at every stage, the constraints imposed by external processes such as court timetables or regulatory procedures, and the varying and often tacit ways in which lawyers and legal teams actually work. Legal project management is sometimes treated as a specialist function in high value matters, but many of its techniques can be applied informally and proportionately in a broader range of matters."
pre-2,2. Structural concepts,
pre-2.1,Matter,"A discrete piece of legal work with a defined scope, start, and end. The primary unit of client engagement for legal services providers, but also increasingly used for legal work done internally within an organisation."
pre-2.2,Remit,"An ongoing area of legal responsibility or risk that a lawyer or team holds on a continuing basis, without a defined end. This concept is particularly relevant to legal work done internally within an organisation."
pre-2.3,Portfolio,"A collection of matters and remits, which may be grouped by client, Work type, Area of law, organisational unit or a combination of these."
pre-2.4,Workstream,"A distinct thread of activity within a matter or remit, often running in parallel with others. The term is used in two senses in legal work: as a subdivision within a matter or remit, and to describe work that spans multiple subdivisions or an entire portfolio. Where the distinction matters, the terms nested workstream and cross-cutting workstream may be used."
pre-2.5,Phase,"A major stage of a matter or workstream, with a clear beginning and end. Phases often follow each other, at least approximately, but they may run in parallel. In practice, the concept of phases is also used in legal work to describe ongoing topics within a matter."
pre-2.6,Phase applicability,"A classification of a phase by its typical applicability. In noslegal process maps, we use the terms Typical for phases expected to be typically applicable and Specialist for those expected to be adopted only in particular circumstances. The purpose is to guide whether it should be included in a matter plan as a matter of course or only upon consideration of specific needs."
pre-2.7,Objective,"A significant outcome to be achieved within a matter, workstream or phase. These provide orientation for the work within a phase and a basis for assessing progress, without necessarily corresponding to a discrete deliverable or a formal milestone. More than one objective may apply to a single matter, workstream or phase."
pre-2.8,Milestone,A significant point of progress or completion within a matter or phase.
pre-2.9,Deliverable,"A significant output to be produced (in legal work, often a document)."
pre-2.10,Task,"A discrete unit of work assigned to a person, contributing to a deliverable, milestone, or phase."
pre-2.11,Scope,"The boundaries of a matter or a part of it. These may be defined by a combination of phases, deliverables, tasks and assumptions depending on context. Managing scope change is a significant aspect of managing matters in practice."
pre-2.12,Scope change,"A variation in the scope of a matter resulting from new instructions, changed circumstances, unforeseen complexity or the crystallisation of an assumption that did not hold, or a risk which occurred. Inadequate management of scope change is a common source of write-offs, budget overruns and client dissatisfaction in legal work."
pre-2.13,Matter plan,"A structured description of how a matter is intended to be executed, setting out in proportionate detail relevant phases, objectives, tasks, deliverables, milestones, assumptions, budget and duration. A matter plan may be developed in a custom manner or derived from one or more process maps adapted to the specific circumstances of the matter. Matter plans range from a high degree of detail in complex matters with large teams to simple checklists in routine ones. Their value lies in their practical contributions to planning and budgeting, as a living record of how the matter is developing (so that it can be managed effectively) and, after the event, as a source of data which can be used for guidance and process improvement."
pre-3,3. Quantitative concepts,
pre-3.1,Duration,"The time between the start and end of a matter or a part of it. Duration is distinct from the effort required to complete the work. Understanding typical durations for different types of work is valuable for planning, process improvement and setting realistic expectations."
pre-3.2,Pricing model,"The basis on which a client is charged for a law-related service. Common models include time-based charging, fixed fees for all or part of a matter and success-based fees. Hybrid forms including capped time-based fees and bonuses are also sometimes seen. The model agreed for a particular matter should be recorded to minimise disputes and allow meaningful analysis of financial performance across a portfolio."
pre-3.3,Budget,"The expenditure authorised by a client for a matter or part of it. It may be revised as the matter develops. Where a fixed fee has been agreed, the budget and the fee are the same. As usage can vary in practice, it is worth clarifying in a given working context whether it refers, for example, to a fixed fee which is expected to be revised from time to time, a cap on time-based fees or merely a non-binding estimate."
pre-3.4,Estimate,"A non-binding projection of the likely input cost, price, duration or other variable required for a matter, workstream, phase or task, ideally based on available information at a given point in time. Estimates are inherently uncertain and should be distinguished from budgets."
pre-3.5,Projection or Forecast,"Neutral words for describing anticipated input cost, price, duration or other variable, without the bindingness suggested by budget or looseness suggested by estimate."
pre-3.6,Actuals,"Actual input cost, price, duration or other variable as in fact required (as opposed to projected) for a matter, workstream, phase or task."
pre-3.7,WIP,"Work in progress. Time and other billable inputs recorded on a matter which have not yet been billed to the client. In practice, Invoiced amounts are sometimes less than WIP."
pre-3.8,Invoiced,The sums actually billed by a legal services provider to its client.
pre-3.9,Debtors,Invoiced sums not yet paid.
pre-3.10,Paid,Invoiced sums which have been paid (or collected).
pre-3.11,Realisation,The percentage of the value of work done (either at agreed rates or at the legal services provider’s benchmark rates) that is invoiced to or paid by a client. Invoice realisation (or bill realisation or write-off rate) measures the relationship between the value of time recorded and the invoiced amount. Collection realisation (or recovery rate) measures the relationship between invoiced and paid amounts. Both are relevant to assessing the financial return on a matter.
pre-3.12,Capacity,"The availability of a person, team or organisation with the necessary skill and experience to take on work, having regard to existing commitments. Understanding capacity across a team is important for resourcing decisions and setting realistic timelines. Capacity is distinct from capability, which addresses whether the relevant skills and experience exist regardless of availability."
pre-3.13,Internal cost,"The cost to an organisation of delivering a matter or other legal work. The concept is relevant to work carried out internally (e.g. within a corporate legal department) and to legal services providers as a measure of determining and managing profitability (by comparing the internal cost to the fee charged). Internal cost in legal work is typically calculated in legal services providers with a particular focus on the human effort required (usually approximated by time recording, valued at an internal hourly cost rate which takes into account the organisation’s overheads). But other direct expenses should also be included and may be very important in some contexts."
pre-3.14,Effort,"The amount of human work input required to complete a matter, workstream, phase or task, typically measured in hours or days. Effort is distinct from duration, which measures elapsed time. Effort is the primary input to internal cost and hence profitability calculations irrespective of the pricing type. It is also the basis on which time-based fees are calculated. In legal work, effort is typically recorded as hours with a narrative of what was done. This is essential for billing purposes and increasingly recognised as desirable for building the data needed to estimate, price and manage similar work in future."
pre-3.15,Rate,"The unit cost of human effort, expressed as a monetary amount per unit of time, typically per hour or per day. Rates appear in three distinct contexts in legal work: (1) the agreed (or “charge-out”) rate at which a legal services provider may bill a client for time spent, (2) the “internal” or “cost” rate, used to calculate the internal cost of effort for profitability purposes and (3) a benchmark (or target or standard) rate adopted by a legal services provider to provide targets to meet and to assess success in meeting those targets. Rates typically vary by individual, seniority, matter type, jurisdiction and other context."
pre-3.16,Profitability,"The financial return generated by a matter, client relationship or portfolio after accounting for the internal costs of delivery. At matter level, gross profit is the difference between the fee received and the internal cost attributed to it. Gross profit margin expresses gross profit as a percentage of the fee received and is a commonly used metric for setting profitability targets and analysing actual profitability."
pre-3.17,Narrative,"A written description of the work done on a matter or a specific part of it. Billing narratives serve two distinct purposes: they communicate to the client what has been done and justify the fee charged, and they create a record of the work performed which can be used as data for internal learning. In practice, the quality of billing narratives varies considerably, and narratives written primarily for billing purposes are often too brief or generic to be useful for the second purpose. Thought given to narrative quality at the time of recording can significantly improve the value of matter data for both purposes."
pre-3.18,Expenses,"Costs incurred in the course of a matter which are passed on to the client separately from the main fee. In legal practice, the term is used broadly to cover any out-of-pocket expenses incurred on a client's behalf, such as court fees, counsel's fees, search fees, travel costs and similar items which are passed on without a profit element. The term “disbursement” is also used, though note that its usage by lawyers is wider than its meaning under (e.g.) UK tax law."
pre-3.19,Variance,"The difference between projected cost, duration or other figures and how they actually turned out."
pre-3.20,Write-off,"The variance between the recorded value of recorded time or other WIP and the lesser amount billed, reflecting a decision not to charge the client for some or all of the work done. Write-offs arise for various reasons, including fee agreements, outside counsel billing guidelines, and assessments that work that did not meet the required standard or took excessive time. Write-offs are a component of realisation."
pre-3.21,Lock-up,"A cashflow metric defined as the total amount of working capital tied up in a legal services provider's WIP and debtors taken together. Total lock-up is typically expressed in days, as the sum of WIP days and debtor days. High lock-up increases a legal service’s financing costs and typically also increases the risk of not being paid at all. Lock-up is lowered by billing promptness (reducing WIP days) and collection efficiency (reducing debtor days)."
pre-4,4. Concepts for refining process elements,
pre-4.1,Assumption,"An event or condition treated as a given for the purposes of scoping, planning and costing a matter, workstream or phase. It’s desirable to record assumptions which have a material risk of not being met, with a significant impact on the matter’s success. This is so that they can be monitored and so that changes in circumstances can be identified and their implications for cost, timing and scope assessed in a timely fashion. A matter, workstream or phase may have multiple assumptions."
pre-4.2,Risk,"An uncertain event or condition that, if it occurs, would affect the cost, timing, scope or outcome of a matter or phase. Risks differ from assumptions in that they represent things that may happen, rather than things treated as given. Risks should be identified and, where possible, assessed in terms of likelihood and potential impact, so that they can be monitored and appropriate responses prepared."
pre-4.3,Dependency,"A relationship where one task, deliverable, or milestone cannot start or finish until another has started or finished. In practice, dependencies are often tacitly understood in legal work though can of course be expressly recorded. Understandings of starting and finishing are often imprecisely defined in legal work, and significant parallelisation of work often occurs in practice."
pre-4.4,Outside counsel guidelines,"Instructions issued by a client to a legal services provider setting out the terms on which legal services are to be provided, including billing requirements, rate approvals, staffing expectations, expense policies and reporting obligations. Outside counsel guidelines have become increasingly detailed and prescriptive in recent years, particularly among large corporate clients. They have a direct bearing on how matters are managed, how time is recorded and described, what expenses may be passed on, and what write-offs may result from non-compliance. They are often incorporated into formal engagement terms as contractual obligations."
pre-4.5,Status,"This term is used in different ways in legal work, both in practice and in associated software.

- One usage is in matter management, to describe the position of a matter in its overall lifecycle, from inception to closure. At its simplest, matter status is binary: active (or open) vs closed. A more detailed version and possible definitions includes additional concepts such as inception (the matter has been opened and scoped but substantive work has not yet begun), active (legal work is in progress), closing (the legal work is complete but administrative steps such as billing, filing and know-how capture remain) and closed (all steps have been completed). If this more detailed version is to be worthwhile, clarity as to the definitions of the inception and closing stages is desirable together with an effective process for ensuring that the relevant steps are indeed taken.

- A similar structured usage of status is at sub-matter level, e.g. phase, task or assumption, to describe the basic stage it is at (e.g. not started, in progress, done / completed, not required, archived for tasks; unvalidated, invalidated, validated, on tracak, at risk for assumptions). Elaborations of this (e.g. risks and more detailed workflow steps) may be conceptualised as types of status or as simpler tags / labels - there is some variance in practice. A practical question is to consider logical relationships between status within parent / child and other relationships - this may favour a relatively simple status model, with nuance being added in other ways.

- A more general usage is ""status"" in the sense of a status report or dashboard summarising how things stand on points such as objectives, milestones, deliverables and budget, which have been achieved or have failed, or are on target or at risk. There is inevitably variance in what exactly is covered. To avoid confusion, it may be better to avoid ""status"" as terminology in this context.

"
