Code,Name,Parent,Definition and exclusions,Topics
law,Area of law,,,
law-cor,Corporate law,law,"Law governing the formation, internal organisation, governance, financing and liability of corporate entities and other business organisations.",
law-cor-1,Business entity law,law-cor,"Law governing the incorporation, constitution, internal management and dissolution of companies, partnerships and other business entities, and the rights and duties of their members.","Companies, Partnerships, LPs (limited partnerships), Public companies, Private companies, Branches, Groups and subsidiaries, Conversions, Company names, Company registers, Redomiciling, Mutuals, Co-operatives, Unincorporated associations"
law-cor-2,Corporate finance,law-cor,"Corporate law aspects of a company's financial structure, including the issuance and maintenance of share capital, dividends and the corporate rules governing debt. Distinct from Financial law (law-fin) governing the external obligations between lenders and borrowers, and from Securities law (law-cor-5) governing public markets.","Share capital, Capital reduction and buybacks, Dividends, Accounts and reporting, Debentures and bonds, Inter-company loans, Group structures"
law-cor-3,Corporate governance,law-cor,"Law governing the exercise of powers by directors and shareholders, and the frameworks for oversight and accountability within corporate entities. Includes climate-related corporate governance issues.","Directors' duties, Board committees, Directors' powers, Shareholder meetings, Information rights, Record keeping, Voting and proxies, Company secretarial, Board remuneration, ESG governance, Related party transactions, Director conflicts of interest, Board-level whistleblowing"
law-cor-4,Liability,law-cor,"Law governing liability within and of corporate entities, including directors' duties and liabilities, shareholder remedies and the circumstances in which limited liability may be displaced.","Limited liability, Directors' duties and liability, Derivative actions, Minority shareholder rights, Corporate opportunities, Piercing the corporate veil"
law-cor-5,Securities law,law-cor,"Law governing the issue of securities and ongoing obligations of issuers and market participants, including disclosure, market integrity and takeover regulation. Closely related to Financial services regulation (law-sec-fsv) but focused on the substantive obligations of issuers rather than the authorisation of intermediaries.","Prospectus law, Ongoing disclosure, Market abuse and market integrity, Exchange regulation, Public offers and takeover regulation, Retail investor protection, Crowdfunding regulation, Private placement, Short-selling"
law-cbo,Cross-border law,law,"Laws and legal frameworks governing matters with a cross-border element, including public international law, private international law, trade law and sanctions.",
law-cbo-1,Public international and supranational law,law-cbo,"Law governing relations between states and other international actors, including treaty obligations, customary international law, state responsibility and supranational frameworks such as EU and WTO law.","Treaty law, Customary international law, Jus cogens, General principles of law, State responsibility, International legal personality, Diplomatic and consular law, International humanitarian law, International court and tribunal jurisdiction, Supranational law (EU, WTO etc.), Law of the sea, UNCLOS, International criminal law, Use of force, War crimes, Crimes against humanity, Genocide, Recognition of states and governments, State succession"
law-cbo-2,Private international law,law-cbo,"Law governing which court has jurisdiction over a dispute, which law applies to it, and whether foreign judgments and arbitral awards are recognised and enforced in cross-border situations. Also called conflict of laws.","Jurisdiction and forum, Forum non conveniens, Anti-suit injunctions, Governing law / choice of law, Recognition and enforcement of foreign judgments, Recognition and enforcement of arbitral awards, Domicile, Habitual residence"
law-cbo-3,Trade law,law-cbo,"International and domestic law governing trade in goods and services between states, including WTO rules, trade remedies and the terms of bilateral and regional trade agreements. Export restrictions and quotas are included as a topic where they operate as trade measures. Export controls imposed as part of a sanctions regime are addressed in Sanctions (law-cbo-4); where both dimensions apply, both types should be tagged.","Tariffs and customs duties, Anti-dumping measures, Safeguard measures, Trade remedies, WTO dispute settlement, Rules of origin, Export restrictions and quotas, Non-tariff barriers, Trade in services, Bilateral investment treaties (BITs), Bilateral and regional trade agreements, Investment protection, Customs law beyond tariffs (valuation, authorised economic operators)"
law-cbo-4,Sanctions,law-cbo,"Laws and regulations restricting or prohibiting transactions, relationships and activities involving designated persons, entities or jurisdictions, typically on national security, foreign policy or human rights grounds. For criminal offences arising from sanctions breaches, see Illicit goods and markets (law-wro-3). Export controls imposed as part of a sanctions regime are included here. Trade measures not primarily sanctions-driven are in Trade law (law-cbo-3). ","UN sanctions regimes, Asset freezing, Travel bans, Trade embargoes, Secondary sanctions, Designated persons lists, Export controls, Compliance programmes"
law-evp,Evidence and procedural law,law,Law governing the conduct of legal proceedings and the evidence that may be adduced in them.,
law-evp-1,Evidence law,law-evp,"Law governing what evidence may be adduced in proceedings, how it is obtained and tested, and the allocation of the burden and standard of proof.","Admissibility, Burden and standard of proof, Witness evidence, Documentary evidence, Expert evidence, Hearsay, Privilege, Professional secrecy, Without prejudice, Disclosure and discovery, Electronic evidence"
