#,Phase,Description,Tasks,Deliverables,Milestones,Alternative names,General / Special,Parent phase,Relationship to parent
0,Civil Litigation - England & Wales,"This process map is based on the officially-promulgated but non-mandatory phases specified in England and Wales Civil Procedure Rules J-codes / Precedent H / Precedent S / Practice Direction 3E. Where there are minor wording differences between these sources, one version has been chosen and others appear in the Alternative names column. Four additional unofficial phases have been added for topics which in practice often require substantial work and expense: Amendments and requests for further information; Summary determination; Related proceedings for challenges, appeals and enforcement; and Detailed assessment of costs. The Scope clarifications noted in the Assumptions column summarise the PD3E table of inclusions and exclusions.",,,,,,,
1,Initial and pre-action protocol work,"Covers exchange of information and positions before court proceedings, including compliance with any applicable pre-action protocol. Settlement activities are included in the Settlement phase, not here. PD3E inclusions: pre-action protocol correspondence; investigating the merits of the claim and advising client; settlement discussions, advising on settlement and Part 36 offers; all other steps taken and advice given pre action. PD3E exclusions: any work already incurred in relation to any other phase.","complete pre-action protocol forms, correspond with other party to provide information, indicate intention to commence proceedings","correspondence, pre-action protocol forms","Pre-action protocol correspondence completed, letter of claim sent and response received",Pre-action,General,Commencement,Splits parent phase
2,Issue / Statements of case,"Covers initiation of court proceedings and exchange of statements of case. Also note that amendments and requests for further information are split into a separate phase (phase 7). PD3E inclusions: preparation of claim form; issue and service of proceedings; preparation of particulars of claim, defence, reply; considering opposing statements of case and advising client; Part 18 requests; updating schedules of loss; amendments to statements of case.","acknowledge service, correspond before action / claim, file initial court documents, issue proceedings, pay initial court fees, prepare and review pleadings, prepare answer, prepare complaint, prepare counterclaim, prepare crossclaim, prepare defence, prepare initial court documents, prepare reply, prepare statement of claim, receive service, serve proceedings / complaint / process / request","acknowledgement of service, answer / defence, claim form, counterclaim / crossclaim, letter before action / claim, reply, response to letter before action / claim","Claim issued and served, statements of case exchanged",,General,Commencement,Splits parent phase
3,Case management conference,"Covers establishment of procedure, timetable and budget, and resolution of procedural issues arising during the case. In noslegal, this phase is assumed to include all case management matters and interim applications, with the exception of applications to determine all or part of the case summarily (see Summary determination, phase 11). PD3E inclusions: completion of directions questionnaire; arranging a CMC; reviewing opponent's budget; correspondence to agree directions and budgets; preparation for and attendance at the CMC; finalising the order; any further CMC built into the directions. PD3E exclusions: preparation of costs budget for first CMC.","appear at or attend case management conference / CMC / costs and case management conference / CCMC, apply for disclosure or document production, apply for freezing order, apply for interim injunction, apply for interim measures, apply to consolidate, apply to join, establish procedural timetable, prepare directions questionnaire / DQ","costs budget, directions, directions questionnaire / DQ, directions ruling, agreed budget, agreed directions, roadmap for case","Directions questionnaire filed, CMC attended, directions and costs budget approved",CMC,General,Case management,Splits parent phase
4,Disclosure,"Covers preparation and exchange of documentary evidence. PD3E inclusions: obtaining documents from client and advising on disclosure obligations; reviewing documents for disclosure, preparing disclosure report or questionnaire response and list; inspection; reviewing opponent's list and documents; correspondence about scope of disclosure; consulting counsel in relation to disclosure. PD3E exclusions: applications for specific disclosure; applications and requests for non-party disclosure.","advise on factual legal and evidential issues, gather analyse and disclose documentary evidence, deduplicate documents, establish keywords, review documents, select ediscovery / edisclosure platform, use technology-assisted review / TAR","advice on factual, evidential or legal issues, document list / list of documents, documentary evidence","Disclosure list served, inspection completed",,General,Pleadings and evidence,Splits parent phase
5,Witness statements,Covers preparation and exchange of factual witness statements. PD3E inclusions: identifying witnesses; obtaining statements; preparing witness summaries; consulting counsel about witness statements; reviewing opponent's statements; applications for witness summaries. PD3E exclusions: arranging for witnesses to attend trial (included in Trial preparation).,"advise on factual legal and evidential issues, interview factual witnesses, prepare factual witness statements, review factual witness statements","Witness statements, witness summaries, record of review of witness statements",Witness statements exchanged,,General,Pleadings and evidence,Splits parent phase
6,Expert reports,Covers preparation and exchange of expert reports and arrangement of experts' meeting. PD3E inclusions: identifying and engaging suitable expert(s); reviewing draft and approving report(s); dealing with follow-up questions of experts; considering opposing experts' reports; conferences with counsel relating to expert evidence; meetings of experts. PD3E exclusions: obtaining permission to adduce expert evidence (included in CMC); arranging for experts to attend trial (included in Trial preparation). This phase applies only where expert evidence has been ordered.,"arrange for experts to meet, instruct expert witnesses, prepare agenda for meeting of experts, review draft and final reports of expert witnesses","instructions to expert, expert report, agenda for meeting of experts, record of review of expert report","Expert reports exchanged, experts' meeting held and joint statement produced",,Special,Pleadings and evidence,Splits parent phase
7,Amendments and further information,"Covers amendment of statements of case and requests for further information under CPR Part 18. This is an unofficial noslegal phase, not derived from J-codes / Precedent H / Precedent S. It is split out from Statements of case to enable better tracking of when the initial pleadings phase is complete, and for better mapping to other forms of dispute resolution. This phase applies only where amendments or Part 18 requests arise.","prepare amendments, review amendments, prepare request for further information, respond to request for further information, review further information provided","amended defence, amended counterclaim, amended particulars of claim, amended reply, request for further information, further information",Amendments or requests for further information resolved,,Special,Commencement,Splits parent phase
8,Pre-trial review,"Covers resolution of how the trial will be conducted. PD3E inclusions: bundle; preparing and agreeing chronology, case summary and dramatis personae (if ordered); completing and filing pre-trial checklists; correspondence to agree directions; preparation for and attendance at the PTR. PD3E exclusions: assembling and/or copying the bundle.","prepare bundle for pre-trial review / PTR, prepare case summary, prepare chronology, prepare dramatis personae, prepare for pre-trial review / PTR, complete pre-trial checklist, attend or appear at pre-trial review","pre-trial review / PTR bundle, chronology, case summary, dramatis personae, pre-trial checklist, up to date budgets, up to date case plan","Pre-trial checklist filed, PTR attended, trial directions confirmed",PTR,General,Case management,Splits parent phase
9,Trial preparation,Covers practical arrangements for trial and any final evidential issues before trial. PD3E inclusions: trial bundles; witness summonses and arranging for witnesses to attend trial; any final factual investigations; supplemental disclosure and statements (if required); counsel's brief fee; pre-trial conferences and advice from counsel; pre-trial liaison with witnesses. PD3E exclusions: assembling and/or copying the trial bundle; counsel's refreshers.,"agree brief fee and refreshers, issue and serve witness summonses, liaise with witnesses, make supplemental disclosure, prepare trial bundle, arrange pre-trial conferences and advice","trial bundle, witness summonses","Trial bundle filed, witness arrangements confirmed",,General,Resolving the merits,Splits parent phase
