Code,Name,Parent,Definition,Notes,Synonyms,Examples
lin,Legal information asset,,"Anything in which information of any description is recorded. This includes documents in the widely understood paper or digital sense. But it also extends beyond documents to computerised models, interactive experiences and any other format in which information is embodied.
Note: The subtypes can be used singly or in combination. For example, a legal instrument may also be an example.",,"Document, artefact, artifact",
lin-k,Knowledge asset,lin,"An information asset which has been identified as containing or reflecting some substantive legal or legal process content of value.
If originally created in a matter, it is something identified as having value beyond that specific matter.",,,
lin-k-1,Legal source,lin-k,An official resource containing law or guidance as to how it is interpreted or applied,,,
lin-k-1.1,Legislation,lin-k-1,A statute or regulation laying down rules with legally binding effect,,,"Act, statute, regulation, ordinance, order (legislative or regulatory), code, code of conduct, directive"
lin-k-1.2,Case report,lin-k-1,"A full report of a case with binding or persuasive effect in interpreting or applying the law, or which at least provides some guidance as to how a relevant court or authority may rule",,,"Judgment, decision, opinion (judicial), order (in a particular case)"
lin-k-1.3,Official guidance,lin-k-1,Material issued by a body with legal authority in a particular area (e.g. a prosecutor or regulator) indicating its policy on topics within its authority,,,"Policy statement, manual, prosecution guidance, guidelines, handbook, warning notice, guidance notice, explanation, recommendation"
lin-k-1.4,Policy material,lin-k-1,"Material issued by a body with legal authority in a particular area indicating how it will or may develop its policy in future, or how it proposes that the law in its area should change",,,"Report (policy), proposal, white paper, green paper, consultation paper, options paper, position paper"
lin-k-2,Example,lin-k,"An information asset having some know-how value which serves as a particular example of how something can be done. May have originally been created for an external or internal audience but typically curated for an internal audience, often with redactions to preserve client-confidential information. ",,"Precedent (in some uses), specimen (in some uses)","An executed contract, a letter, a steps plan for a transaction"
lin-k-3,Template,lin-k,An information asset having some know-how value which provides a generic starting point for creating matter-specific information assets or otherwise delivering legal work. Often designed for an internal audience.,,"Standard, pro-forma, model form, style (in Scotland), precedent (in some uses), specimen (in some uses)",A template of a document (e.g. a contract or pleading) whether in document (e.g. Word) or automated (document assembly) format. A template of a process whether in document (e.g. Visio) or automated (case management / collaboration software) format.
lin-k-4,Guide,lin-k,"Information assets created to help legal professionals to address a particular topic. May be associated with examples or templates, or may be freestanding. 
Note: These are more detailed and specific than training materials, but may contain elements of training (e.g. in their introductory sections). Often designed for an internal audience.",,"Guidance, guidance note, practice note, drafting note","A note supporting use of a particular template, a note on how to address a particular issue"
lin-k-5,Training material,lin-k,"Assets created to introduce a topic or to provide updates or new perspectives on a topic, whether for an internal or external audience. 
Note: While the distinction between guidance and training materials is a matter of judgement, training materials are focused on introducing a topic or development, whereas guidance goes into practical detail on how to address a particular topic.",,,"A script for delivering training on a particular topic, slides or a note for a lecture or seminar, a video or podcast, an introductory article. "
lin-k-6,Legal update,lin-k,,,,
