Code,Name,Parent,Topics,Linked sector name,Linked sector code
law-sec,Sectoral laws,,,,
law-sec-agr,Agriculture law,law-sec,,Agriculture,sec-agr
law-sec-agr-1,Agriculture and land use law,law-sec-agr,"Animal welfare, Livestock regulation, Plant health regulation, Pesticides and agrochemicals regulation, Organic farming standards, Agricultural cooperatives, Genetic modification in agriculture, Crop and livestock insurance, Agricultural produce standards",,
law-sec-nar,Natural resources law,law-sec,,Natural resources,sec-nar
law-sec-nar-1,Mining and minerals law,law-sec-nar,"Mineral extraction rights, Mining licences and concessions, Royalties and revenue sharing, Mining environmental obligations, Rehabilitation and mine closure, Mine safety regulation, Critical minerals regulation, Offshore seabed minerals, Surface rights and mining access, Export restrictions on minerals, Community benefit agreements, Artisanal and small-scale mining",,
law-sec-nar-2,Oil and gas law,law-sec-nar,"Upstream licensing and exploration permits, Production licences, Hydrocarbon unitisation, Joint operating agreements, Production sharing agreements, Host government agreements, Petroleum fiscal regimes, Decommissioning obligations, Pipeline access and transportation, Offshore safety regulation, Offshore environmental regulation, NORM (naturally occurring radioactive material), Radioactive waste",,
law-sec-mfg,Manufacturing law,law-sec,,Manufacturing,sec-mfg
law-sec-mfg-1,Product safety law,law-sec-mfg,"Product safety standards and certification, Conformity assessment, Market surveillance, Product recalls and withdrawal, General product safety regulation, Dangerous products regulation, Toy safety, Electrical equipment safety, Machinery safety, Battery regulation, Packaging and labelling regulation, Cosmetics product regulation, PPE regulation",,
law-sec-mfg-2,Industrial operations law,law-sec-mfg,"Industrial emissions regulation, Environmental permits for industrial installations, Major accident hazard regulation, Best available techniques (BAT) obligations, Pollution prevention and control, Industrial water discharge and effluent regulation, Industrial noise and vibration regulation, Emissions monitoring and reporting, Plant siting and operational authorisation, Industrial waste management, Site closure and restoration obligations, Occupational exposure regulation, Industrial decarbonisation obligations, ETS compliance (installations)",,
law-sec-mfg-3,Chemicals law,law-sec-mfg,"Chemicals safety assessment and registration, Classification, labelling and packaging, Restriction of hazardous substances, Persistent organic pollutants (POPs), Prior informed consent for chemical imports / exports (Rotterdam Convention), Nanomaterials regulation, Cosmetics ingredient regulation, Pesticides and plant protection products (regulatory dimension), Globally Harmonized System (GHS), Chemicals supply chain notification obligations",,
law-sec-ens,Energy supply law,law-sec,,Energy supply,sec-ens
law-sec-ens-1,Electricity law,law-sec-ens,"Generation licensing, Transmission system regulation, Distribution network regulation, Retail supply licensing, Electricity market rules and codes, Balancing and settlement, Smart metering, Grid connection rights, Capacity mechanisms, Electricity trading arrangements, Consumer protection in electricity supply, Embedded generation",,
law-sec-ens-2,Gas law,law-sec-ens,"Gas supply licensing, Gas transportation regulation, Gas distribution network regulation, Gas market rules and codes, Gas storage regulation, LNG regulation and terminal access, Pipeline regulation, Gas safety regulation, Consumer protection in gas supply, Balancing obligations",,
law-sec-ens-3,Renewable energy law,law-sec-ens,"Renewable energy support schemes, Feed-in tariffs, Green certificate schemes, Offshore wind licensing and seabed leasing, Onshore wind and solar regulation, Hydrogen regulation, Low-carbon heat regulation, Battery storage regulation, Community energy schemes, Energy from waste regulation, Renewable fuel standards, International renewable energy law",,
law-sec-ens-4,Nuclear energy law,law-sec-ens,"Nuclear licensing, Nuclear liability, Nuclear decommissioning, Nuclear safety regulation",,
law-sec-wtw,Water and waste law,law-sec,,Water and waste,sec-wtw
law-sec-wtw-1,Water services law,law-sec-wtw,"Water supply licensing, Wastewater and sewerage regulation, Abstraction rights and licences, Drainage obligations, Flood risk management, Water quality standards, Metering and charging, Consumer protection in water services, Infrastructure adoption, Leakage obligations",,
law-sec-wtw-2,Waste management law,law-sec-wtw,"Waste classification, Waste carrier and broker licensing, Landfill regulation, Hazardous waste management, Duty of care in waste, Producer responsibility, Packaging and recycling obligations, Controlled waste, Environmental permitting for waste facilities, Transboundary waste movements (Basel Convention)",,
law-sec-csn,Construction law,law-sec,,Construction,law-csn
law-sec-csn-1,Construction contracts law,law-sec-csn,"Standard form building contracts (FIDIC etc.), Subcontracting and supply chain, Construction adjudication, Defects liability and practical completion, Contractor and subcontractor insolvency, Design and build arrangements, Performance bonds and construction guarantees, Retention, Construction dispute resolution, Latent defects insurance",,
law-sec-csn-2,Infrastructure law,law-sec-csn,"Public procurement law and regulations, Infrastructure concessions, PPP frameworks, Development consent and authorisation, Infrastructure financing and project finance, Developer obligations (planning gain), Infrastructure maintenance obligations, Public utility access",,
law-sec-rwt,Retail and wholesale trade law,law-sec,,Retail and wholesale trade,sec-rwt
law-sec-rwt-1,Retail law,law-sec-rwt,"Retail trading regulation, Retail premises licensing, Franchising law, Age-restricted product regulation, Alcohol licensing (retail), Tobacco and vaping product regulation, E-commerce and online marketplace obligations, Price marking and labelling obligations",,
law-sec-rwt-2,Wholesale and distribution law,law-sec-rwt,"Wholesale trade regulation, Supply chain due diligence, Pharmaceutical wholesale licensing, Import and export licensing (goods-specific), Product traceability and recall obligations, Intermediary and logistics regulation",,
law-sec-trs,Transportation and storage law,law-sec,,Transportation and storage,sec-trs
law-sec-trs-1,Rail law,law-sec-trs,"Rail network access and licensing, Track access agreements, Safety regulation and accident investigation, Rail passenger rights, Rail freight regulation, High speed rail law, Rolling stock regulation, Cross-border rail arrangements, Level crossing regulation",,
law-sec-trs-2,Road law,law-sec-trs,"Operator and vehicle licensing, Carriage of goods by road, Road haulage regulation, Vehicle standards and type approval, CMR Convention, Dangerous goods transport, Taxi and ride-hailing regulation, Bus and coach regulation, Autonomous vehicle regulation",,
